label_id,dossier,pyc,pnx_file,lan_nhan_xet,item_no,trang,muc,noi_dung_nhan_xet,phan_hoi_don_vi,rule_ref_goi_y,do_tin_cay,can_cu_goi_y,ghi_chu_goi_y,da_kiem,goi_y_dung,rule_ref,checklist_ref,vong,ngoai_pham_vi,ghi_chu
PNX_PBH 4.0v2|R1-01-05,cap moi PBH 4.0 20043,PYC-20043,PNX_PBH 4.0v2.docx,1,1,,,"Các ảnh chụp cấu hình, tải phải kèm theo ip, dung lượng kèm đường dẫn tương ứng, kèm chú thích rõ ràng","Đã bổ xung thêm sở cứ Đã tính toán lại số liệu sizing Đã bổ xung các ảnh chụp cấu hình, kèm ip, dung lượng Mục đích định cở sizing là cho hệ thống mới Bản sizing cho cụm k8s, lưu trữ Ceph S3 cho hệ thống, không bao gồm sizing cho database.",STO-04; KPI-06; EVD-01,cao,Dung lượng lưu trữ + KHOẢNG TRỐNG · Chất lượng ảnh sở cứ,Rất nhiều nhận xét là về ảnh sở cứ mờ/không khớp số liệu. Không quy tắc nào ràng buộc chất lượng ảnh minh chứng. Khoảng trống MỚI — liên quan trực tiếp C2/vision và NT4.,x,S,,,,,"Là YÊU CẦU VỀ CHẤT LƯỢNG ẢNH SỞ CỨ (kèm ip, đường dẫn, chú thích) — KHOẢNG TRỐNG, không quy tắc nào phủ. Máy khớp nhầm STO-04/KPI-06/EVD-01 vì chữ ""dung lượng""."
PNX_MNP|R1-02-02,cap moi MNP 32034,PYC-32034,PNX_MNP.docx,1,2,1,,Bổ sung mục đích sizing,,PRC-11,cao,Mục đích sizing,PRC-11 được BỔ SUNG 2026-09-03 (người dùng duyệt) đúng để phủ chủ đề này — trước đó rules.yaml không có quy tắc nào khớp.,x,Đ,PRC-11,CL-2.1,1,,Đúng quy tắc vừa bổ sung 2026-09-03.
PNX_CAMPAIGN_MANAGEMENT_v3|R1-02-03,cap bo sung campaign 2.0 8964,PYC-8964,PNX_CAMPAIGN_MANAGEMENT_v3.docx,1,2,,I,Bổ sung thông tin: kết nối hệ thống,Đã sửa lại nội dung sizing và bổ sung sở cứ,ARC-15; ARC-16,cao,Kết nối tới hệ thống khác,,x,Đ,ARC-15; ARC-16,CL-3.x.9; CL-3.x.10,1,,
PNX_PL07_Sizing_Mybox_update_20251803|R1-04-02,cap moi Mybox 38327,PYC-38327,PNX_PL07_Sizing_Mybox_update_20251803.docx,1,4,,,Server đang chạy thật thì lấy tải trong khoảng thời gian (tuần/tháng) để đánh giá tần suất biến động tải,Server thật nhưng mà trong quá trình thực hiện test,KPI-01; KPI-10,cao,Khoảng đo tải / 95th,,x,Thừa,KPI-10,CL-2.5,2,,Cốt lõi là khoảng đo tải phải đủ dài. KPI-01 (95th) là việc khác.
PNX_callbot inbound CSKH_bosung videobot XMKH_v1.2v2|R2-06-01,cap moi callbot inbound CSKH_bosung videobot XMKH 35485,PYC-29293,PNX_callbot inbound CSKH_bosung videobot XMKH_v1.2v2.docx,2,6,10,,Sở cứ cho các số liệu bảng tính toán dung lượng trên từng server ( trang 10),,STO-04; KPI-06; EVD-01; PRC-01; EVD-03,cao,Dung lượng lưu trữ,,x,Thừa,PRC-01; STO-04,CL-2.5; CL-3.x.16; CL-3.x.17,2,,
PNX_PL07_Sizing_Mybox_update_20251803|R2-04-03,cap moi Mybox 38327,PYC-38327,PNX_PL07_Sizing_Mybox_update_20251803.docx,2,4,,,"Định cỡ cụm máy chủ ELK (Elasticsearch): Cập nhật lại các anh tải hệ thống thể hiện đủ thông tin ip của server, hiện tại ảnh bị mờ và chưa có thông tin ip. ( ảnh và giá trị tính không đồng nhất, cần khoanh tròn vào thông tin lấy gí trị trên ảnh để dễ đối soát)",,EVD-10,khoảng trống,KHOẢNG TRỐNG · Chất lượng ảnh sở cứ,Rất nhiều nhận xét là về ảnh sở cứ mờ/không khớp số liệu. Không quy tắc nào ràng buộc chất lượng ảnh minh chứng. Khoảng trống MỚI — liên quan trực tiếp C2/vision và NT4.,x,S,,,,,"Ảnh mờ, thiếu ip — KHOẢNG TRỐNG chất lượng ảnh sở cứ. EVD-10 (nhất quán tổng) là sai."
PNX_Data Security VTTv2|R1-05-03,cap moi Data Security VTT 18476,PYC-18476,PNX_Data Security VTTv2.docx,1,5,,,Ghi rõ công thức tính để dễ đối soát(đang để mỗi kết quả),Bổ sung sở cứ cho kết quả đo ram kèm công thức (trang 5),,khoảng trống,KHOẢNG TRỐNG · Phải trình bày công thức,"PNX đòi hiện phép tính, không chỉ kết quả. EVD-09 chỉ yêu cầu truy được nguồn số. Khoảng trống đã biết.",x,Đ,,,,,"KHOẢNG TRỐNG ""phải trình bày công thức"" — máy nhận đúng là không có quy tắc phủ."
PNX_hethongVtag_v4|R1-07-01,cap moi hethong Vtag,,PNX_hethongVtag_v4.docx,1,7,,,- Công thức tính không đúng,,,khoảng trống,KHOẢNG TRỐNG · Phải trình bày công thức,"PNX đòi hiện phép tính, không chỉ kết quả. EVD-09 chỉ yêu cầu truy được nguồn số. Khoảng trống đã biết.",x,S,,,,,"Đây là ""công thức tính SAI"" (lỗi Vòng 2), KHÔNG phải ""thiếu trình bày công thức"". Quy tắc cụ thể tuỳ phân hệ đang nói tới — cần đọc ngữ cảnh dòng trên."
PNX_FMRA_Sizing_server_Backup_2024_Final_New|R1-03-03,cap moi FMRA_Sizing_server_Backup_2024 58352,PYC-58352,PNX_FMRA_Sizing_server_Backup_2024_Final_New.docx,1,3,,,Bổ sung ảnh sở cứ tải hệ thống hiện tại cần hiển thị thông tin ip máy chủ và số lượng 250k thuê bao với 85 đặc trưng,,PRC-01; EVD-03,khoảng trống,KHOẢNG TRỐNG · Chất lượng ảnh sở cứ,Rất nhiều nhận xét là về ảnh sở cứ mờ/không khớp số liệu. Không quy tắc nào ràng buộc chất lượng ảnh minh chứng. Khoảng trống MỚI — liên quan trực tiếp C2/vision và NT4.,x,Đ,PRC-01,CL-2.5,2,,Đòi bổ sung ảnh sở cứ tải hiện tại. Chạm khoảng trống chất lượng ảnh.
PNX_hethongVtag_v4|R1-05-01,cap moi hethong Vtag,,PNX_hethongVtag_v4.docx,1,5,8,,- Trang 8: Bổ sung ảnh thực tế tải của các server,Tải thực tế của các server đã có trong từng mục nội dung của từng server.,,khoảng trống,KHOẢNG TRỐNG · Chất lượng ảnh sở cứ,Rất nhiều nhận xét là về ảnh sở cứ mờ/không khớp số liệu. Không quy tắc nào ràng buộc chất lượng ảnh minh chứng. Khoảng trống MỚI — liên quan trực tiếp C2/vision và NT4.,x,Thiếu,PRC-01,CL-2.5,2,,Máy để trống; thực chất là đòi sở cứ tải thực tế.
PNX_He thong CMP_Phan hoi NX lan 2|R1-02-03,cap moi CMP 40562,PYC-35119,PNX_He thong CMP_Phan hoi NX lan 2.docx,1,2,,,"Bổ sung thông tin sở cứ đầu vào của các giá trị này (hình ảnh, văn bản,...)","3,000,000 thuê bao (yêu cầu từ Chủ trương Dự án đầu tư). Định cỡ số lượng người dùng tương ứng 3 triệu thuê bao: 3000000/710051*301 = 1271 người dùng và TPS: 29/301*1271 = 122.",PRC-01; EVD-03,khoảng trống,KHOẢNG TRỐNG · Chất lượng ảnh sở cứ,Rất nhiều nhận xét là về ảnh sở cứ mờ/không khớp số liệu. Không quy tắc nào ràng buộc chất lượng ảnh minh chứng. Khoảng trống MỚI — liên quan trực tiếp C2/vision và NT4.,x,Đ,PRC-01,CL-2.5,2,,
PNX_PL07_Sizing_Mybox_update_20251803|R1-05-03,cap moi Mybox 38327,PYC-38327,PNX_PL07_Sizing_Mybox_update_20251803.docx,1,5,,,"Định cỡ cụm máy chủ ELK (Elasticsearch): Cập nhật lại các anh tải hệ thống thể hiện đủ thông tin ip của server, hiện tại ảnh bị mờ và chưa có thông tin ip.","Có thông tin hostname thay thế cho IP, ảnh gốc vẫn nhìn được.",EVD-10,khoảng trống,KHOẢNG TRỐNG · Chất lượng ảnh sở cứ,Rất nhiều nhận xét là về ảnh sở cứ mờ/không khớp số liệu. Không quy tắc nào ràng buộc chất lượng ảnh minh chứng. Khoảng trống MỚI — liên quan trực tiếp C2/vision và NT4.,x,S,,,,,Như dòng 16.
PNX_CALLBASE|R1-04-01,cap moi CALLBASE 44087,PYC-44087,PNX_CALLBASE.docx,1,4,,,"Cập nhật ảnh sở cứ ngay tại giá trị cần làm rõ để dễ tham chiếu, hiện tại đang để ở cuối.",,PRC-01; EVD-03; EVD-10,khoảng trống,KHOẢNG TRỐNG · Chất lượng ảnh sở cứ,Rất nhiều nhận xét là về ảnh sở cứ mờ/không khớp số liệu. Không quy tắc nào ràng buộc chất lượng ảnh minh chứng. Khoảng trống MỚI — liên quan trực tiếp C2/vision và NT4.,x,Thừa,PRC-01,CL-2.5,2,,Đòi ĐẶT ảnh sở cứ ngay cạnh giá trị — thuộc khoảng trống trình bày sở cứ. EVD-03/EVD-10 không đúng việc.
PNX_He thong CMP_Phan hoi NX lan 2|R1-07-03,cap moi CMP 40562,PYC-35119,PNX_He thong CMP_Phan hoi NX lan 2.docx,1,7,,,"Bổ sung các hình ảnh thực tế đo đạc, thực trạng hệ thống hiện tại","Bổ sung sở cứ tải hệ thống bằng các hình ảnh thực tế đo đạc và cập nhật phương pháp định cỡ, Cập nhật công thức tính tổng tài nguyên hiện có của module nhân với tỉ lệ TPS, Kpi Ksaiso rồi chia hệ số N phù hợp",,khoảng trống,KHOẢNG TRỐNG · Chất lượng ảnh sở cứ,Rất nhiều nhận xét là về ảnh sở cứ mờ/không khớp số liệu. Không quy tắc nào ràng buộc chất lượng ảnh minh chứng. Khoảng trống MỚI — liên quan trực tiếp C2/vision và NT4.,x,Thiếu,PRC-01,CL-2.5,2,,Máy để trống; là đòi sở cứ đo đạc thực tế.
PNX_Mykid 2.0 v2|R1-07-02,cap moi Mykid 2.0 30959,PYC-30959,PNX_Mykid 2.0 v2.docx,1,7,21,,"Bổ sung lại ảnh sở cứ, ảnh mờ không nhìn rõ",Sử dụng sở cứ chung ở Thông tin đầu vào của sizing,PRC-01; EVD-03,khoảng trống,KHOẢNG TRỐNG · Chất lượng ảnh sở cứ,Rất nhiều nhận xét là về ảnh sở cứ mờ/không khớp số liệu. Không quy tắc nào ràng buộc chất lượng ảnh minh chứng. Khoảng trống MỚI — liên quan trực tiếp C2/vision và NT4.,x,Đ,PRC-01,CL-2.5,2,,"Vừa thiếu ảnh vừa mờ — phần ""mờ"" thuộc khoảng trống chất lượng ảnh."
PNX_Sizing_APIGW-Meta_2024v4|R1-03-02,cap moi APIGW-Meta_2024 18927,PYC-18927,PNX_Sizing_APIGW-Meta_2024v4.docx,1,3,5,,"Bổ sung sở cứ cho số liệu, ảnh chụp hiện thị cả ip",Đã bổ sung,PRC-01; EVD-03,khoảng trống,KHOẢNG TRỐNG · Chất lượng ảnh sở cứ,Rất nhiều nhận xét là về ảnh sở cứ mờ/không khớp số liệu. Không quy tắc nào ràng buộc chất lượng ảnh minh chứng. Khoảng trống MỚI — liên quan trực tiếp C2/vision và NT4.,x,Đ,PRC-01,CL-2.5,2,,
PNX_Data Security VTTv2|R1-04-03,cap moi Data Security VTT 18476,PYC-18476,PNX_Data Security VTTv2.docx,1,4,3,,Ghi rõ công thức tính để dễ đối soát(đang để mỗi kết quả),Đã bổ sung sở cứ cho các số liệu trong bảng định cỡ cpu (trang 5) Cột ghi chú có công thức tính để dễ đối soát (trang 5) Đã thay dự phòng theo KPI 75%,,khoảng trống,KHOẢNG TRỐNG · Phải trình bày công thức,"PNX đòi hiện phép tính, không chỉ kết quả. EVD-09 chỉ yêu cầu truy được nguồn số. Khoảng trống đã biết.",x,Đ,,,,,Như dòng 17.
PNX_Mykid 2.0 v2|R1-03-03,cap moi Mykid 2.0 30959,PYC-30959,PNX_Mykid 2.0 v2.docx,1,3,2,,Bổ sung ảnh chụp cho sở cứ 39022,Bổ sung sở cứ file KH 4084/KH-CNTT&DVS làm sở cứ cho số liệu đầu vào Tamdtt1 đã bổ sung Bổ sung ảnh chụp cho sở cứ 39022 Tamdtt1 đã bổ sung,PRC-01; EVD-03,khoảng trống,KHOẢNG TRỐNG · Chất lượng ảnh sở cứ,Rất nhiều nhận xét là về ảnh sở cứ mờ/không khớp số liệu. Không quy tắc nào ràng buộc chất lượng ảnh minh chứng. Khoảng trống MỚI — liên quan trực tiếp C2/vision và NT4.,x,Đ,PRC-01,CL-2.5,2,,
PNX_PL07_Sizing_Mybox_update_20251803|R1-11-03,cap moi Mybox 38327,PYC-38327,PNX_PL07_Sizing_Mybox_update_20251803.docx,1,11,8,,Trang 8 bổ sung sở cứ cho: 700K file ảnh,Đã bổ sung sở cứ,PRC-01; EVD-03,khoảng trống,KHOẢNG TRỐNG · Chất lượng ảnh sở cứ,Rất nhiều nhận xét là về ảnh sở cứ mờ/không khớp số liệu. Không quy tắc nào ràng buộc chất lượng ảnh minh chứng. Khoảng trống MỚI — liên quan trực tiếp C2/vision và NT4.,x,Đ,PRC-01,CL-2.5,2,,"⚠️ Máy khớp nhầm mẫu ""ảnh"": ""700K file ảnh"" là DỮ LIỆU của hệ thống, không phải ảnh sở cứ. Mã gán vẫn đúng nhưng căn cứ ghi sai."
PNX_CAMPAIGN_MANAGEMENT_v3|R1-01-02,cap bo sung campaign 2.0 8964,PYC-8964,PNX_CAMPAIGN_MANAGEMENT_v3.docx,1,1,,,Bổ sung sở cứ tăng trưởng là 20%,Đã bổ sung các thông tin sở cứ P.HT yêu cầu,PRC-01; EVD-03,khoảng trống,KHOẢNG TRỐNG · Sở cứ tốc độ tăng trưởng,KPI-16 (tăng trưởng 01 năm) đang enabled:false vì mâu thuẫn với ALC-01 (06 tháng). Khoảng trống đã biết.,x,Đ,PRC-01,CL-2.5,2,,"Chạm KHOẢNG TRỐNG ""sở cứ tốc độ tăng trưởng"" — KPI-16 đang enabled:false."
PNX_He thong CMP_Phan hoi NX lan 2|R1-03-01,cap moi CMP 40562,PYC-35119,PNX_He thong CMP_Phan hoi NX lan 2.docx,1,3,,,4.2 Cấu hình các server trên hệ thống CMP hiện tại,Cập nhật sở cứ cấu hình server CMP trên Vcloud,,không xác định,,,x,Đ,,,,x,"Tiêu đề mục, không phải yêu cầu. Đúng khi không gán quy tắc."
PNX_Data Security VTTv2|R2-09-04,cap moi Data Security VTT 18476,PYC-18476,PNX_Data Security VTTv2.docx,2,9,,,Chi tiết từng phân hệ của dự án cập nhật rõ thông tin: IP Public,,,không xác định,,,x,Thiếu,EVD-17,CL-3.x.1,1,,"Đòi mô tả chi tiết phân hệ (IP Public) — EVD-17, Vòng 1."
PNX_FMRA_Sizing_server_Backup_2024_Final_New|R1-03-01,cap moi FMRA_Sizing_server_Backup_2024 58352,PYC-58352,PNX_FMRA_Sizing_server_Backup_2024_Final_New.docx,1,3,,,Mục định cỡ thiết bị máy chủ,,,không xác định,,,x,Đ,,,,x,Tiêu đề mục.
PNX_He thong CMP_Phan hoi NX lan 2|R1-10-01,cap moi CMP 40562,PYC-35119,PNX_He thong CMP_Phan hoi NX lan 2.docx,1,10,,,5.2.1 Load balancer,Cập nhật sở cứ giả thiết Công thức tính toán LB không cần KPI,,không xác định,,,x,Đ,,,,x,Tiêu đề mục.
PNX_Data Security VTTv2|R2-09-02,cap moi Data Security VTT 18476,PYC-18476,PNX_Data Security VTTv2.docx,2,9,,,Chi tiết từng phân hệ của dự án cập nhật rõ thông tin: Module,,,không xác định,,,x,Thiếu,EVD-17,CL-3.x.1,1,,Như dòng 32.
PNX_StrongSwan|R1-02-01,cap moi StrongSwan 40325,PYC-40325,PNX_StrongSwan.docx,1,2,,,Thông lượng đề xuất sửa lại theo số liệu tính toán,,,không xác định,,,x,Thiếu,FWL-02,CL-3.x.12,2,,Đòi sửa lại thông lượng đề xuất theo số tính toán.
PNX_SSO 2.0_v3|R1-03-01,cap moi SSO 2.0 46385,PYC-46385,PNX_SSO 2.0_v3.docx,1,3,,,Mục: thông tin cần bổ sung,"Chỉ có các hệ thống khác kết nối đến SSO để xác thực tập trung như đã mô tả trong mục I.2.4 Đã bổ sung định cỡ FW, LB trong mục III.2.3 Không sử dụng SSD Đã bổ sung tổng hợp số liệu đề xuất cấp phát tài nguyên tại mục III.3",,không xác định,,,x,Đ,,,,x,Tiêu đề mục.
PNX_Sizing_APIGW-Meta_2024v4|R1-02-03,cap moi APIGW-Meta_2024 18927,PYC-18927,PNX_Sizing_APIGW-Meta_2024v4.docx,1,2,,I,Thông tin đầu vào chi tiết,Đã bổ sung mục đích sizing Sẽ bổ sung sở cứ sau khi Đơn vị yêu cầu (TTDĐ) ký tờ trình BTGĐ,,không xác định,,,x,Đ,,,,x,Tiêu đề mục.
PNX_APIGee Mini Appv2|R1-06-01,cap moi APIGee Mini App 64015,PYC-64015,PNX_APIGee Mini Appv2.docx,1,6,,,Mục đề xuất của đối tác,Với TPS trung bình là 5000 thì tổng request trung bình là 5000*60*60*24 =432tr request,,không xác định,,,x,Đ,,,,x,Tiêu đề mục.
PNX_He thong CMP_Phan hoi NX lan 2|R1-07-01,cap moi CMP 40562,PYC-35119,PNX_He thong CMP_Phan hoi NX lan 2.docx,1,7,,,5.1.3 Định cỡ module PostgreSQL,"Bổ sung sở cứ tải hệ thống bằng các hình ảnh thực tế đo đạc và cập nhật phương pháp định cỡ, Cập nhật công thức tính tổng tài nguyên hiện có của module nhân với tỉ lệ TPS, Kpi Ksaiso rồi chia hệ số N phù hợp",,không xác định,,,x,Đ,,,,x,Tiêu đề mục.
PNX_callbot inbound CSKH_bosung videobot XMKH_v1.2v2|R2-07-01,cap moi callbot inbound CSKH_bosung videobot XMKH 35485,PYC-29293,PNX_callbot inbound CSKH_bosung videobot XMKH_v1.2v2.docx,2,7,,,Tài nguyên này có trong QHĐC chưa,,,không xác định,,,x,Thiếu,PRC-06,,2,,"⚠️ CHƯA CHẮC: ""QHĐC"" chưa rõ viết tắt của gì (quy hoạch đấu chuyển?). Tạm gán PRC-06 (phương án cấp phát thống nhất với VTNet). Cần hỏi đơn vị."
PNX_PBH 4.0v2|R2-02-02,cap moi PBH 4.0 20043,PYC-20043,PNX_PBH 4.0v2.docx,2,2,,,Cint_rate_2017: 175*20/32 = 109.375  chỗ này sao lại *20/32,,,không xác định,,,x,Thiếu,CPU-03; CPU-02,CL-3.x.13,2,,Chất vấn phép quy đổi 175*20/32 — thuộc quy đổi SPEC theo tỷ lệ vCPU.
PNX_Data Security VTTv2|R2-09-05,cap moi Data Security VTT 18476,PYC-18476,PNX_Data Security VTTv2.docx,2,9,,,Chi tiết từng phân hệ của dự án cập nhật rõ thông tin: Hệ điều hành,,,không xác định,,,x,Thiếu,EVD-18,CL-3.x.2,1,,"Hệ điều hành = công nghệ sử dụng của phân hệ, EVD-18, Vòng 1."
PNX_C360_Public|R1-03-07,cap moi C360_Public 9367,PYC-9367,PNX_C360_Public.docx,1,3,,III,"Dữ liệu cần cho 300CCU/2 node là 2G, không phải 1G.",,,không xác định,,,x,Thiếu,ARC-08; RAM-02,CL-3.x.20; CL-3.x.14,2,,Sửa số liệu tài nguyên chia trên 2 node.
PNX_Data Security VTTv2|R2-04-01,cap moi Data Security VTT 18476,PYC-18476,PNX_Data Security VTTv2.docx,2,4,,,Lập bảng giá trị,,,không xác định,,,x,Thiếu,EVD-16; EVD-22,CL-2.9; CL-3.x.20,1,,Đòi lập bảng tổng hợp giá trị.
PNX_He thong CMP_Phan hoi NX lan 2|R1-07-02,cap moi CMP 40562,PYC-35119,PNX_He thong CMP_Phan hoi NX lan 2.docx,1,7,,,Tương tự nhận xét module Worker,"Bổ sung sở cứ tải hệ thống bằng các hình ảnh thực tế đo đạc và cập nhật phương pháp định cỡ, Cập nhật công thức tính tổng tài nguyên hiện có của module nhân với tỉ lệ TPS, Kpi Ksaiso rồi chia hệ số N phù hợp",,tham chiếu chéo,,"Trỏ tới một nhận xét khác, không phải yêu cầu độc lập. Quy tắc nằm ở nhận xét được trỏ tới.",x,Đ,,,,x,Tham chiếu chéo tới nhận xét khác — quy tắc nằm ở nhận xét được trỏ tới.
PNX_He thong CMP_Phan hoi NX lan 2|R1-06-02,cap moi CMP 40562,PYC-35119,PNX_He thong CMP_Phan hoi NX lan 2.docx,1,6,,,Tương tự nhận xét module CMS,"Bổ sung sở cứ tải hệ thống bằng các hình ảnh thực tế đo đạc và cập nhật phương pháp định cỡ, Cập nhật công thức tính tổng tài nguyên hiện có của module nhân với tỉ lệ TPS, Kpi Ksaiso rồi chia hệ số N phù hợp",,tham chiếu chéo,,"Trỏ tới một nhận xét khác, không phải yêu cầu độc lập. Quy tắc nằm ở nhận xét được trỏ tới.",x,Đ,,,,x,Như dòng 46.
PNX_vTracking 2.0_v2|R1-01-02,cap bo sung VTracking 2.0.1 14716,PYC-14716,PNX_vTracking 2.0_v2.docx,1,1,,,Nội dung chỉnh sửa theo PNX phản hồi cụ thể trong PNX không comment trong file tài liệu để còn trình ký lãnh đạo.,Đã bổ sung theo yêu cầu,,tham chiếu chéo,,"Trỏ tới một nhận xét khác, không phải yêu cầu độc lập. Quy tắc nằm ở nhận xét được trỏ tới.",x,Đ,,,,x,Hướng dẫn cách phản hồi PNX — ngoài phạm vi kiểm tài liệu sizing.
PNX_CAMPAIGN_MANAGEMENT_v3|R2-01-03,cap bo sung campaign 2.0 8964,PYC-8964,PNX_CAMPAIGN_MANAGEMENT_v3.docx,2,1,,,Nội dung phản hồi ghi cụ thể theo từng ý của nhận xét P.HT,,,tham chiếu chéo,,"Trỏ tới một nhận xét khác, không phải yêu cầu độc lập. Quy tắc nằm ở nhận xét được trỏ tới.",x,Đ,,,,x,Như dòng 48.
PNX_He thong CMP_Phan hoi NX lan 2|R1-08-02,cap moi CMP 40562,PYC-35119,PNX_He thong CMP_Phan hoi NX lan 2.docx,1,8,,,Tương tự nhận xét module Worker,"Bổ sung sở cứ tải hệ thống bằng các hình ảnh thực tế đo đạc và cập nhật phương pháp định cỡ, Cập nhật công thức tính tổng tài nguyên hiện có của module nhân với tỉ lệ TPS, Kpi Ksaiso rồi chia hệ số N phù hợp",,tham chiếu chéo,,"Trỏ tới một nhận xét khác, không phải yêu cầu độc lập. Quy tắc nằm ở nhận xét được trỏ tới.",x,Đ,,,,x,Như dòng 46.
